Year,Description,24-Parganas (North),24-Parganas (South),Bankura,Birbhum,Burdwan,Cooch Behar,Dakshin Dinajpur,Darjeeling,Hooghly,Howrah,Jalpaiguri,Kolkata,Malda,Midnapore East,Midnapore West,Murshidabad,Nadia,Purulia,Uttar Dinajpur
2001-02,Growth Rate % (YoY),8.98210668,6.234431958,6.248871019,10.92142589,8.013230733,3.219785882,4.064772978,8.186136329,9.528536777,6.300407569,4.913068195,5.580735493,10.95884504,NA,NA,11.35196731,10.12852767,10.3013959,0.771050497
2002-03,Growth Rate % (YoY),8.169089857,6.198840906,-3.392764759,2.246244091,2.973192677,1.372480504,5.502456082,5.318114248,0.162890654,8.213181694,5.640433352,7.073197609,-5.208149336,NA,NA,1.189429602,5.116725064,-5.443536565,7.660979339
2003-04,Growth Rate % (YoY),5.918018283,-0.509555789,2.498022549,3.854973824,8.555838272,10.49168757,1.568825512,3.927474217,8.48719005,0.341230913,3.443964983,4.78869978,6.352593045,18.44045379,4.209776969,9.129533038,1.956266559,4.874182042,7.681697646
2004-05,Growth Rate % (YoY),8.044307245,3.71004374,5.633433581,1.766851786,9.013191712,4.648318346,0.933904139,7.039590439,5.23383457,7.196970119,5.861159677,8.630919497,6.597598197,16.59302601,9.569419061,3.631319252,1.330135636,4.795216096,-2.150995696
2005-06,Growth Rate % (YoY),11.42137531,7.636021005,6.000457903,5.750190624,7.312710095,7.774297193,7.083419932,7.517858954,7.989554975,8.395916641,5.280821623,10.94509568,3.525681591,4.025534162,3.999934716,7.498644723,5.91820075,1.943462464,11.2159426
2006-07,Growth Rate % (YoY),8.904022863,10.65193652,6.902157604,9.277814185,7.940212134,19.371445,3.164020099,8.364883065,5.177300921,10.20603669,10.79160867,9.589225287,6.842181305,11.91487189,8.060349833,7.464350183,6.093465078,10.68356014,6.111280921
2005-06,Growth Rate % (YoY),11.22621453,3.308924995,9.479638624,8.63590945,2.634958249,5.742589109,5.255509888,9.042304405,7.787188717,5.78654075,2.850503622,10.56925613,3.392509337,-0.335410997,5.658086851,8.46771578,6.623730982,4.510162917,10.06251524
2006-07,Growth Rate % (YoY),6.964050054,12.49927624,5.833567691,9.443735794,11.05132007,1.534490096,2.891084913,7.405209327,1.991403299,10.62870389,10.45469169,8.405154923,6.368336973,8.499983806,7.415396756,6.525766075,5.07223165,9.047935769,3.287854649
2007-08,Growth Rate % (YoY),10.61208907,7.146460606,7.843517814,6.124931858,4.901367528,8.865578737,7.339471771,6.190085191,10.95630082,7.233047281,6.499580272,7.670733554,7.446532992,5.969389363,9.250943421,8.199996491,8.356869731,5.867296926,8.658202234
2008-09,Growth Rate % (YoY),8.139457079,2.976971807,2.684682922,3.478378353,2.73909366,2.779827591,3.497821621,12.87606036,5.321197164,4.671962939,5.519339056,6.681536436,4.384660011,6.632414589,1.005285637,1.655125539,5.269354332,4.723545368,6.077957816
2009-10,Growth Rate % (YoY),9.021126943,6.100862031,9.886301882,3.448712712,9.855638376,8.160753922,6.5961809,14.71895106,13.51271608,9.01450383,5.065573964,2.304044635,6.726160965,10.71857855,10.95629463,7.031722021,6.019653939,4.947818598,5.610972324
2010-11,Growth Rate % (YoY),9.168283983,9.283982775,-1.995088815,3.555924333,5.427639484,4.43942837,8.436961292,7.251026839,8.485184614,10.27387047,7.887657649,7.986054872,7.745092632,9.092198494,5.595392209,6.115359213,7.115822662,-0.274738562,8.438402113
